,CountryCode,Year,NCD_BMI_30A,NCD_DIABETES_PREVALENCE_CRUDE,NCD_GLUC_03,NCD_PAA,SI_POV_DAY1,WHS5_512,WHOSIS_000001,WSH_SANITATION_BASIC,PHE_HHAIR_PROP_POP_POLLUTING_FUELS
5971,EMR,2006.0,18.116245,11.875919,8.7,32.157566,,,66.88891361,63.96411,37.01
5972,LBY,2018.0,34.962755,23.959635,,43.576313,,,73.52909525,92.106,
5973,LSO,1991.0,7.8415804,4.29435,3.8,,,,,,93.8
5974,AFG,2007.0,7.2339766,12.175497,6.9,24.961794,,,57.2548387,30.46653,84.7
5975,AMR,2002.0,21.499284,8.6065948,7.0,29.324448,,,74.50152763,84.94065,11.6
5976,FIN,1999.0,15.953809,5.6862298,7.0,,,,,,0.0
5977,SVN,2001.0,14.404476,7.3578581,7.4,19.452984,,,76.22393944,99.11168,0.0
5978,CAF,2010.0,5.3900171,13.832413,5.1,17.691751,,,49.20179696,17.90095,99.5
5979,SSD,1990.0,1.658872,4.2577449,,,,,,,98.9
5980,BRB,1997.0,19.904996,14.057866,8.7,,,,,,0.0
5981,SDN,2010.0,10.667685,10.352211,,20.59153,,,66.94489813,28.23805,67.8
5982,FJI,2016.0,30.200362,20.493364,,16.917322,,,67.7499939,93.00551,57.9
5983,ALB,2020.0,22.040656,12.604593,,23.615814,,,76.53104591,99.29879,16.6
5984,JPN,2006.0,3.1930674,8.3367355,9.4,33.236546,,,82.59216336,99.98483,0.0
5985,YEM,2009.0,8.0693901,9.4205648,6.5,23.774137,,,67.58534902,49.35305,40.7
5986,PRI,2019.0,39.111775,28.405413,,40.423618,,,80.50288098,,0.0
5987,NZL,2009.0,27.830112,8.1969887,8.1,20.563353,,,80.56243651,100.0,0.0
5988,SLE,2020.0,6.7746565,8.930815,,13.141682,,,60.52060193,21.01671,99.2
5989,WB_UMI,1995.0,6.4266138,5.4860342,5.3,,,,,,
5990,GRL,2011.0,22.924055,6.5279089,,,,,,,
5991,NIC,2013.0,28.132114,10.398805,7.9,35.457985,,53.0,77.25621199,69.8936,51.7
5992,TZA,2000.0,3.6795609,5.0953597,3.2,13.676475,86.0,,52.79227334,6.45456,99.4
5993,GMB,2013.0,9.8046318,8.0067292,5.7,21.49873,,95.0,63.42180565,46.48443,97.8
5994,AUT,2007.0,13.655677,6.9089226,5.8,28.808805,0.5,,80.0322621,99.9911,0.0
5995,AGO,1995.0,4.0325325,8.9343347,3.0,,,,,,61.9
5996,CMR,1991.0,3.4313299,3.9676208,3.0,,,,,,95.7
5997,QAT,2002.0,27.749306,14.269109,11.8,46.116211,,,70.33186981,99.93655,0.0
5998,SYC,1990.0,13.239254,9.8882198,6.0,,,,,,0.0
5999,NLD,2008.0,13.416216,6.9336176,5.8,15.743068,0.0,,80.25577925,97.84975,0.0
6000,MNG,1998.0,9.8828368,5.775122,5.4,,,,,,78.3
6001,PRK,2017.0,8.4969163,11.935754,,25.043478,,,71.92237066,83.15841,90.1
6002,CHE,2005.0,11.459497,5.0681204,5.2,26.215467,,,81.11493442,99.88104,0.0
6003,MDA,2003.0,21.213433,6.3543715,7.1,15.121248,7.5,,66.19700504,72.6813,25.7
6004,SLV,1995.0,14.967676,5.6455068,6.0,,,,,,53.9
6005,MRT,1990.0,4.7073942,4.4297464,3.7,,,,,,83.6
6006,PRY,2022.0,32.959187,13.122007,,35.961838,,,,94.57275,29.3
6007,LSO,2001.0,11.176465,5.1040966,5.0,12.685145,,,47.97132353,10.41389,82.4
6008,FJI,2001.0,22.617744,12.158575,10.6,23.604393,,,66.34541639,87.64521,71.6
6009,URY,2017.0,28.975448,15.138251,,32.437557,0.1,,77.33933717,97.19215,0.0
6010,CZE,1993.0,19.273399,6.5153517,7.8,,,,,,0.0
6011,SLE,2008.0,5.4331552,6.4296305,4.1,15.898013,,,53.55359388,11.45551,99.7
6012,CMR,2000.0,6.7655347,4.1943297,3.6,23.904467,,,52.95852821,38.29632,90.0
6013,BGD,2015.0,3.1981368,14.407484,,20.466705,,,73.19207211,48.68382,81.9
6014,BIH,1999.0,13.580325,7.7994607,7.1,,,,,,45.7
6015,ITA,2001.0,13.824008,7.3103398,7.2,43.529148,,,79.67653939,99.88592,0.0
6016,AFG,2016.0,13.425334,16.220489,,29.664152,,,60.39366208,45.7336,71.1
6017,CRI,2018.0,28.736043,21.281725,,48.299599,,,80.28882351,97.66631,4.7
6018,MRT,2006.0,12.915064,5.8925979,5.6,55.652912,,,66.62015995,25.84268,62.0
6019,EUR,2001.0,17.046575,7.1006149,7.3,25.622288,,,72.67016514,93.09915,4.54
6020,UZB,1996.0,9.9969737,6.0473729,4.5,,,,,,19.2
6021,JAM,2017.0,30.004475,19.968176,,36.107044,,,72.33086714,86.28739,8.95
6022,CYP,2006.0,20.315163,7.7042103,7.0,42.522213,0.0,,79.83910882,99.65755,0.0
6023,DOM,2017.0,25.695652,14.073506,,34.686485,,,73.41062894,86.1939,9.4
6024,PRK,1996.0,2.8455731,6.2602021,4.9,,,,,,99.2
6025,AFG,1995.0,2.8668834,8.7033607,4.9,,,,,,97.4
6026,KNA,1999.0,27.666408,10.366494,8.9,,,,,,0.0
6027,NRU,2001.0,66.073298,24.216005,26.1,44.445435,,,,65.53836,0.0
6028,NZL,2020.0,32.727295,10.619225,,18.929564,,,82.5016081,100.0,0.0
6029,BLR,1996.0,17.375302,5.1298127,7.4,,,,,,13.0
6030,KWT,2008.0,39.716357,15.976916,13.1,61.594604,,,78.26367194,100.0,0.0
6031,STP,1991.0,3.4753162,5.495711,4.6,,,,,,99.9
6032,PRY,2000.0,17.3309,6.7644984,4.8,23.503204,,,74.68296704,70.36997,52.0
6033,WPR,1996.0,2.174247,5.4304682,5.1,,,,,,56.97
6034,ESP,2014.0,18.229154,7.9650991,9.4,28.794559,0.7,,82.58446278,99.90609,0.0
6035,STP,2011.0,11.467658,8.7545075,5.3,17.826881,,,69.19904607,34.48294,98.7
6036,GMB,1990.0,1.5295096,4.7349408,2.6,,,,,,96.1
6037,DJI,2015.0,8.1730947,6.5541439,,17.294334,,,63.87735947,61.41891,91.5
6038,BHR,2005.0,27.829951,11.338933,7.3,33.306358,,,71.32084892,99.95827,0.0
6039,RWA,2012.0,2.4400327,3.3124134,2.7,12.923505,,,65.68582887,61.70702,99.5
6040,IND,2011.0,3.8772564,15.062112,7.4,34.961033,21.2,,67.83941098,45.68459,63.05
6041,GBR,1995.0,15.337703,5.8232155,6.4,,,,,,0.0
6042,SEN,2012.0,7.6410905,6.295228,4.9,18.243824,,,66.29422396,49.62215,68.9
6043,TUN,1999.0,15.822682,8.581496,7.3,,,,,,11.0
6044,DJI,2017.0,8.9660421,6.834612,,17.118124,17.1,,64.73030842,64.02454,91.0
6045,ITA,1990.0,12.307202,5.8843471,6.2,,,,,,0.0
6046,CYP,1994.0,15.821841,6.1778214,5.8,,,,,,0.0
6047,EUR,2005.0,18.503261,7.6802261,7.7,25.377205,,,73.41416905,93.86984,3.67
6048,MEX,2021.0,35.348773,14.43824,,27.710379,,,70.83258685,91.98713,14.95
6049,NER,2014.0,4.22494,5.1474713,4.1,18.157417,44.5,,59.45072248,12.36966,98.1
6050,TON,2008.0,59.340823,19.415241,18.6,30.968719,,,72.00245834,90.88395,45.5
6051,COD,2007.0,3.5105556,6.5359659,3.5,17.049528,,,55.97784827,20.67881,97.6
6052,TGO,1993.0,1.8524135,3.71227,2.9,,,,,,100.0
6053,ETH,2011.0,1.3832971,4.7903735,3.6,11.197886,,,64.25857509,6.19978,97.4
6054,KEN,2000.0,4.2093467,3.676733,2.7,13.242547,,,54.09203911,28.05317,98.3
6055,CAN,2013.0,24.814345,8.0883548,7.1,32.566956,0.5,,81.55829938,99.26168,0.0
6056,PAN,2006.0,21.634881,6.6894494,7.1,41.212555,10.5,,76.72660117,68.52436,0.0
6057,TUV,2004.0,54.927945,16.952579,18.1,35.18346,,,,81.91303,84.7
6058,POL,1992.0,14.292116,5.7439335,6.7,,,,,,0.0
6059,BRB,2007.0,27.261052,20.117322,11.6,37.756012,,,75.24398474,92.35439,0.0
6060,BGR,1991.0,11.74337,6.8893328,7.0,,,,,,
6061,SWZ,2006.0,19.476637,7.2038271,5.7,22.956589,,,42.74148839,53.08088,67.1
6062,HND,1991.0,9.3658105,4.2882137,3.6,,,,,,84.1
6063,CHE,1997.0,10.157941,4.6658047,4.9,,,,,,0.0
6064,TON,1993.0,49.457219,13.996446,11.9,,,,,,81.3
6065,PAK,2017.0,17.46247,20.959266,,40.878185,,,66.3818317,61.92651,55.5
6066,HND,2019.0,27.409381,10.172738,,35.445354,,,71.43843431,81.95255,51.65
